High_Risk_Job,High_Risk_Domain,Alternative_Job,Alternative_Domain,Similarity
Chief Security Officer,Administrative & Clerical,Fire Marshal,Administrative & Clerical,0.7947
File Clerk,Leadership & Strategy,Warehouse Clerk,Leadership & Strategy,0.7953
File Clerk,Leadership & Strategy,Grocery Clerk,Leadership & Strategy,0.7864
File Clerk,Leadership & Strategy,Accounts Payable Clerk,Leadership & Strategy,0.7761
Mail Processing,Medical & Healthcare,Post Office,Medical & Healthcare,0.8007
Mail Processing,Medical & Healthcare,Order Processor,Medical & Healthcare,0.715
Mail Processing,Medical & Healthcare,Content Producer,Medical & Healthcare,0.6973
Director Of Operations,Supply Chain & Logistics,Director Of Manufacturing,Supply Chain & Logistics,0.8507
Director Of Operations,Supply Chain & Logistics,Purchasing Director,Supply Chain & Logistics,0.8344
Director Of Operations,Supply Chain & Logistics,Director Of Purchasing,Supply Chain & Logistics,0.8205
Direct Support Professional,Law Enforcement,Computer Support Specialist,Law Enforcement,0.8506
Direct Support Professional,Law Enforcement,Technical Support Agent,Law Enforcement,0.7934
Direct Support Professional,Law Enforcement,Specialist,Law Enforcement,0.7843
Chief Communications Officer,Construction,Chief Development Officer,Construction,0.8338
Chief Communications Officer,Construction,Technical Director,Construction,0.8143
Chief Communications Officer,Construction,Administrative Manager,Construction,0.808
Administrative Clerk,Sales & Marketing,Mailroom Clerk,Sales & Marketing,0.857
Administrative Clerk,Sales & Marketing,Administrative Analyst,Sales & Marketing,0.8057
Administrative Clerk,Sales & Marketing,Senior Database Administrator,Sales & Marketing,0.7922
Executive Assistant,Hospitality,Product Assistant,Hospitality,0.8341
Executive Assistant,Hospitality,Medical Lab Assistant,Hospitality,0.7955
Executive Assistant,Hospitality,Instructional Coordinator,Hospitality,0.794
General Office Clerk,Communication & PR,Receiving Clerk,Communication & PR,0.8582
General Office Clerk,Communication & PR,Unit Clerk,Communication & PR,0.8392
General Office Clerk,Communication & PR,Staff Assistant,Communication & PR,0.7639
Transcriber,Data & IT,Scanner,Data & IT,0.7315
Transcriber,Data & IT,Communicator,Data & IT,0.7222
Transcriber,Data & IT,Certified Professional Coder,Data & IT,0.7179
Sql Programmer,Administrative & Clerical,Database Programmer,Administrative & Clerical,0.904
Sql Programmer,Administrative & Clerical,Sas Programmer,Administrative & Clerical,0.8064
Sql Programmer,Administrative & Clerical,Senior Programmer,Administrative & Clerical,0.7805
Vba Developer,Leadership & Strategy,Dot Net Developer,Leadership & Strategy,0.7851
Vba Developer,Leadership & Strategy,Visual Designer,Leadership & Strategy,0.767
Vba Developer,Leadership & Strategy,Software Programmer,Leadership & Strategy,0.7409
Medical Scribe,Medical & Healthcare,Editor,Medical & Healthcare,0.753
Medical Scribe,Medical & Healthcare,Surgical Physician Assistant,Medical & Healthcare,0.7447
Medical Scribe,Medical & Healthcare,Flight Nurse,Medical & Healthcare,0.7384
Special Agent,Supply Chain & Logistics,Insurance Agent,Supply Chain & Logistics,0.8166
Special Agent,Supply Chain & Logistics,Ticket Agent,Supply Chain & Logistics,0.8117
Special Agent,Supply Chain & Logistics,Intelligence Specialist,Supply Chain & Logistics,0.7889
Purchasing Clerk,Law Enforcement,Operations Clerk,Law Enforcement,0.8652
Purchasing Clerk,Law Enforcement,Desk Clerk,Law Enforcement,0.8532
Purchasing Clerk,Law Enforcement,Warranty Clerk,Law Enforcement,0.8514
Bricklayer,Construction,Construction Apprentice,Construction,0.7501
Bricklayer,Construction,Armorer,Construction,0.7497
Bricklayer,Construction,Lineman Apprentice,Construction,0.749
Telemarketer,Sales & Marketing,Customer Assistant,Sales & Marketing,0.7894
Telemarketer,Sales & Marketing,Commercial Banker,Sales & Marketing,0.7743
Telemarketer,Sales & Marketing,Survey Technician,Sales & Marketing,0.7729
Bakery Manager,Hospitality,Food Service Specialist,Hospitality,0.8148
Bakery Manager,Hospitality,Food Service Supervisor,Hospitality,0.8134
Bakery Manager,Hospitality,Hospitality Manager,Hospitality,0.8099
Banquet Manager,Communication & PR,Chef Manager,Communication & PR,0.8289
Banquet Manager,Communication & PR,Hotel Assistant Manager,Communication & PR,0.7986
Banquet Manager,Communication & PR,Floor Manager,Communication & PR,0.7926
Clerk Typist,Data & IT,Ward Clerk,Data & IT,0.7606
Clerk Typist,Data & IT,Sales Assistant,Data & IT,0.7521
Clerk Typist,Data & IT,Sales Supervisor,Data & IT,0.7355
Assistant,Administrative & Clerical,Unit Assistant,Administrative & Clerical,0.9121
Assistant,Administrative & Clerical,Assistant Director,Administrative & Clerical,0.899
Assistant,Administrative & Clerical,Assistant Administrator,Administrative & Clerical,0.897
Business Relationship Manager,Leadership & Strategy,Business Management Consultant,Leadership & Strategy,0.8731
Business Relationship Manager,Leadership & Strategy,Customer Support Manager,Leadership & Strategy,0.8208
Business Relationship Manager,Leadership & Strategy,Business Development Coordinator,Leadership & Strategy,0.8147
Distribution Manager,Medical & Healthcare,Distribution Clerk,Medical & Healthcare,0.8126
Distribution Manager,Medical & Healthcare,Facilities Manager,Medical & Healthcare,0.8112
Distribution Manager,Medical & Healthcare,Facility Maintenance Manager,Medical & Healthcare,0.7972
Administrative Assistant,Supply Chain & Logistics,Assistant Manager,Supply Chain & Logistics,0.8672
Administrative Assistant,Supply Chain & Logistics,Training Administrator,Supply Chain & Logistics,0.8404
Administrative Assistant,Supply Chain & Logistics,Human Resources Executive,Supply Chain & Logistics,0.816
Administrative Secretary,Law Enforcement,Executive Administrator,Law Enforcement,0.8216
Administrative Secretary,Law Enforcement,Human Resources Coordinator,Law Enforcement,0.7993
Administrative Secretary,Law Enforcement,Security Coordinator,Law Enforcement,0.7835
Clerical Assistant,Construction,Educational Assistant,Construction,0.8212
Clerical Assistant,Construction,Paralegal Assistant,Construction,0.8162
Clerical Assistant,Construction,Office Coordinator,Construction,0.7882
Executive Administrative Assistant,Sales & Marketing,Graduate Assistant,Sales & Marketing,0.8688
Executive Administrative Assistant,Sales & Marketing,Administrative Analyst,Sales & Marketing,0.8418
Executive Administrative Assistant,Sales & Marketing,Senior Database Administrator,Sales & Marketing,0.813
Order Filler,Hospitality,Warehouse Packer,Hospitality,0.7113
Order Filler,Hospitality,Payroll Clerk,Hospitality,0.7108
Order Filler,Hospitality,Front Office Clerk,Hospitality,0.7063
Records Clerk,Communication & PR,Receiving Clerk,Communication & PR,0.8456
Records Clerk,Communication & PR,Unit Clerk,Communication & PR,0.8235
Records Clerk,Communication & PR,Revenue Accountant,Communication & PR,0.7649
Scribe,Data & IT,Payroll Processor,Data & IT,0.7208
Scribe,Data & IT,Classroom Assistant,Data & IT,0.716
Scribe,Data & IT,Scanner,Data & IT,0.7133
Typist,Administrative & Clerical,Office Technician,Administrative & Clerical,0.7386
Typist,Administrative & Clerical,Test Technician,Administrative & Clerical,0.7189
Typist,Administrative & Clerical,Information Technology Technician,Administrative & Clerical,0.7185
Dishwasher,Leadership & Strategy,Sandwich Maker,Leadership & Strategy,0.7701
Dishwasher,Leadership & Strategy,Kitchen Assistant,Leadership & Strategy,0.7223
Dishwasher,Leadership & Strategy,Industrial Cleaner,Leadership & Strategy,0.718
Digital Project Manager,Medical & Healthcare,Marketing Project Manager,Medical & Healthcare,0.8655
Digital Project Manager,Medical & Healthcare,Healthcare Project Manager,Medical & Healthcare,0.833
Digital Project Manager,Medical & Healthcare,Digital Strategist,Medical & Healthcare,0.7855
Technical Project Manager,Supply Chain & Logistics,Clinical Project Manager,Supply Chain & Logistics,0.86
Technical Project Manager,Supply Chain & Logistics,Engineering Program Manager,Supply Chain & Logistics,0.8531
Technical Project Manager,Supply Chain & Logistics,Management Engineer,Supply Chain & Logistics,0.8344
Grocer,Law Enforcement,Jailer,Law Enforcement,0.7393
Grocer,Law Enforcement,Groomer,Law Enforcement,0.7168
Grocer,Law Enforcement,Groundskeeper,Law Enforcement,0.7075
Finance Officer,Construction,Finance Manager,Construction,0.9218
Finance Officer,Construction,Finance Analyst,Construction,0.8945
Finance Officer,Construction,Financial Analyst,Construction,0.8665
Word Processor,Sales & Marketing,Web Content Editor,Sales & Marketing,0.7055
Word Processor,Sales & Marketing,Process Manager,Sales & Marketing,0.6967
Word Processor,Sales & Marketing,Office Assistant,Sales & Marketing,0.6944
Market Research Interviewer,Hospitality,Economist,Hospitality,0.7424
Market Research Interviewer,Hospitality,Digital Marketing Manager,Hospitality,0.7373
Market Research Interviewer,Hospitality,Seo Consultant,Hospitality,0.7349
Pl Sql Developer,Communication & PR,Oracle Database Developer,Communication & PR,0.8214
Pl Sql Developer,Communication & PR,Computer Programmer,Communication & PR,0.7185
Pl Sql Developer,Communication & PR,Software Engineer,Communication & PR,0.7085
Quantitative Developer,Data & IT,C Developer,Data & IT,0.8149
Quantitative Developer,Data & IT,Programmer,Data & IT,0.7935
Quantitative Developer,Data & IT,Development Engineer,Data & IT,0.7603
Statistical Programmer,Administrative & Clerical,Senior Programmer,Administrative & Clerical,0.8073
Statistical Programmer,Administrative & Clerical,Sas Programmer,Administrative & Clerical,0.8035
Statistical Programmer,Administrative & Clerical,Database Programmer,Administrative & Clerical,0.7953
Tableau Developer,Leadership & Strategy,Web Developer,Leadership & Strategy,0.7305
Tableau Developer,Leadership & Strategy,Dot Net Developer,Leadership & Strategy,0.708
Tableau Developer,Leadership & Strategy,Rails Developer,Leadership & Strategy,0.7034
Data Modeler,Medical & Healthcare,Database Architect,Medical & Healthcare,0.7924
Data Modeler,Medical & Healthcare,Collection Representative,Medical & Healthcare,0.6951
Data Modeler,Medical & Healthcare,Tester,Medical & Healthcare,0.6898
Database Analyst,Supply Chain & Logistics,Business Intelligence Analyst,Supply Chain & Logistics,0.8698
Database Analyst,Supply Chain & Logistics,Software Analyst,Supply Chain & Logistics,0.8399
Database Analyst,Supply Chain & Logistics,Sap Analyst,Supply Chain & Logistics,0.8316
Database Developer,Law Enforcement,DBA,Law Enforcement,0.8303
Database Developer,Law Enforcement,Sql Dba,Law Enforcement,0.8192
Database Developer,Law Enforcement,Sql Developer,Law Enforcement,0.8132
Etl Developer,Construction,.Net Developer,Construction,0.7895
Etl Developer,Construction,Edi Developer,Construction,0.7801
Etl Developer,Construction,Application Developer,Construction,0.7678
Hadoop Developer,Sales & Marketing,Mainframe Developer,Sales & Marketing,0.7322
Hadoop Developer,Sales & Marketing,Software Architect,Sales & Marketing,0.7128
Hadoop Developer,Sales & Marketing,Sap Developer,Sales & Marketing,0.699
Sql Analyst,Hospitality,Database Specialist,Hospitality,0.8052
Sql Analyst,Hospitality,It Analyst,Hospitality,0.7983
Sql Analyst,Hospitality,Sourcing Analyst,Hospitality,0.7878
Procurement Assistant,Communication & PR,Assistant Designer,Communication & PR,0.811
Procurement Assistant,Communication & PR,Program Assistant,Communication & PR,0.8045
Procurement Assistant,Communication & PR,Surgical Assistant,Communication & PR,0.7986
Receiving Associate,Data & IT,Inside Sales Associate,Data & IT,0.7902
Receiving Associate,Data & IT,Communications Associate,Data & IT,0.7865
Receiving Associate,Data & IT,Associate Consultant,Data & IT,0.7782
Warehouse Associate,Administrative & Clerical,Freight Associate,Administrative & Clerical,0.843
Warehouse Associate,Administrative & Clerical,Production Associate,Administrative & Clerical,0.838
Warehouse Associate,Administrative & Clerical,Store Assistant,Administrative & Clerical,0.7936
Press Operator,Leadership & Strategy,Console Operator,Leadership & Strategy,0.7885
Press Operator,Leadership & Strategy,Field Operator,Leadership & Strategy,0.727
Press Operator,Leadership & Strategy,Operations Specialist,Leadership & Strategy,0.7144
Pressman,Medical & Healthcare,Houseman,Medical & Healthcare,0.7522
Pressman,Medical & Healthcare,News Editor,Medical & Healthcare,0.727
Pressman,Medical & Healthcare,Warehouseman,Medical & Healthcare,0.708
Printing Press Operator,Supply Chain & Logistics,Screen Printer,Supply Chain & Logistics,0.7625
Printing Press Operator,Supply Chain & Logistics,Packaging Machine Operator,Supply Chain & Logistics,0.7084
Printing Press Operator,Supply Chain & Logistics,News Producer,Supply Chain & Logistics,0.6897
Automation Test Engineer,Law Enforcement,Manual Tester,Law Enforcement,0.7948
Automation Test Engineer,Law Enforcement,Deployment Engineer,Law Enforcement,0.7834
Automation Test Engineer,Law Enforcement,Component Engineer,Law Enforcement,0.7655
Automation Tester,Construction,Test Coordinator,Construction,0.7738
Automation Tester,Construction,Performance Test Engineer,Construction,0.7542
Automation Tester,Construction,Lab Technician,Construction,0.714
QA Automation Engineer,Sales & Marketing,Qa Engineer,Sales & Marketing,0.9167
QA Automation Engineer,Sales & Marketing,System Engineer,Sales & Marketing,0.7697
QA Automation Engineer,Sales & Marketing,Quality Engineer,Sales & Marketing,0.7684
Tax Preparer,Hospitality,Accountant,Hospitality,0.7841
Tax Preparer,Hospitality,Fund Accountant,Hospitality,0.7695
Tax Preparer,Hospitality,Treasury Accountant,Hospitality,0.7581
Associate,Communication & PR,Accounting Associate,Communication & PR,0.8738
Associate,Communication & PR,Private Equity Associate,Communication & PR,0.8291
Associate,Communication & PR,Associate Software Engineer,Communication & PR,0.8277
Chief Learning Officer,Data & IT,Chief Administrative Officer,Data & IT,0.8905
Chief Learning Officer,Data & IT,Chief Of Police,Data & IT,0.854
Chief Learning Officer,Data & IT,Administrative Specialist,Data & IT,0.8259
Web Project Manager,Administrative & Clerical,Creative Project Manager,Administrative & Clerical,0.8662
Web Project Manager,Administrative & Clerical,Commercial Project Manager,Administrative & Clerical,0.8494
Web Project Manager,Administrative & Clerical,Web Application Developer,Administrative & Clerical,0.8184
Medical Coding Specialist,Leadership & Strategy,Coding Specialist,Leadership & Strategy,0.9291
Medical Coding Specialist,Leadership & Strategy,Medical Office Specialist,Leadership & Strategy,0.8684
Medical Coding Specialist,Leadership & Strategy,Medical Administrative Specialist,Leadership & Strategy,0.8478
Front Desk,Medical & Healthcare,Front Desk Coordinator,Medical & Healthcare,0.8475
Front Desk,Medical & Healthcare,Office Receptionist,Medical & Healthcare,0.7192
Front Desk,Medical & Healthcare,Tower Technician,Medical & Healthcare,0.7042
Credit Manager,Supply Chain & Logistics,Credit Risk Analyst,Supply Chain & Logistics,0.8486
Credit Manager,Supply Chain & Logistics,Business Manager,Supply Chain & Logistics,0.8017
Credit Manager,Supply Chain & Logistics,Portfolio Manager,Supply Chain & Logistics,0.788
Advertising Manager,Law Enforcement,Product Marketing Manager,Law Enforcement,0.8817
Advertising Manager,Law Enforcement,Advertising Sales,Law Enforcement,0.8471
Advertising Manager,Law Enforcement,Retail Marketing Manager,Law Enforcement,0.8314
Caller,Construction,911 Operator,Construction,0.78
Caller,Construction,Call Center Supervisor,Construction,0.7637
Caller,Construction,Clinic Receptionist,Construction,0.7113
Phone Sales,Sales & Marketing,Pharmaceutical Sales,Sales & Marketing,0.7812
Phone Sales,Sales & Marketing,Retail Clerk,Sales & Marketing,0.7299
Phone Sales,Sales & Marketing,Sales Operations Analyst,Sales & Marketing,0.7121
Telesales Representative,Hospitality,Claims Representative,Hospitality,0.7556
Telesales Representative,Hospitality,Registered Medical Assistant,Hospitality,0.7444
Telesales Representative,Hospitality,Food Service Specialist,Hospitality,0.735
Accounting Clerk,Communication & PR,Accounting Administrator,Communication & PR,0.8903
Accounting Clerk,Communication & PR,Accounting Associate,Communication & PR,0.878
Accounting Clerk,Communication & PR,Accounting Technician,Communication & PR,0.8773
Administrative Associate,Data & IT,Chief Administrative Officer,Data & IT,0.8712
Administrative Associate,Data & IT,Communications Associate,Data & IT,0.8378
Administrative Associate,Data & IT,Associate Consultant,Data & IT,0.8291
Administrative Coordinator,Administrative & Clerical,Hr Coordinator,Administrative & Clerical,0.9016
Administrative Coordinator,Administrative & Clerical,Human Resources Specialist,Administrative & Clerical,0.8195
Administrative Coordinator,Administrative & Clerical,Assistant Administrator,Administrative & Clerical,0.8152
Corporate Receptionist,Leadership & Strategy,Corporate Lawyer,Leadership & Strategy,0.7666
Corporate Receptionist,Leadership & Strategy,Housekeeper,Leadership & Strategy,0.7407
Corporate Receptionist,Leadership & Strategy,Postal Clerk,Leadership & Strategy,0.7294
Desk Receptionist,Medical & Healthcare,Office Receptionist,Medical & Healthcare,0.9
Desk Receptionist,Medical & Healthcare,Hotel Receptionist,Medical & Healthcare,0.822
Desk Receptionist,Medical & Healthcare,Store Clerk,Medical & Healthcare,0.7658
Executive Secretary,Supply Chain & Logistics,Assistant Manager,Supply Chain & Logistics,0.7986
Executive Secretary,Supply Chain & Logistics,Staff Attorney,Supply Chain & Logistics,0.7897
Executive Secretary,Supply Chain & Logistics,Business Manager,Supply Chain & Logistics,0.7747
Front Desk Clerk,Law Enforcement,Desk Clerk,Law Enforcement,0.8883
Front Desk Clerk,Law Enforcement,Operations Clerk,Law Enforcement,0.8423
Front Desk Clerk,Law Enforcement,Receptionist,Law Enforcement,0.783
Front Desk Receptionist,Construction,Clinic Receptionist,Construction,0.8835
Front Desk Receptionist,Construction,Front Desk Assistant,Construction,0.8565
Front Desk Receptionist,Construction,Office Coordinator,Construction,0.7853
Front Office Receptionist,Sales & Marketing,Front Desk Attendant,Sales & Marketing,0.85
Front Office Receptionist,Sales & Marketing,Front Desk Supervisor,Sales & Marketing,0.8177
Front Office Receptionist,Sales & Marketing,Customer Assistant,Sales & Marketing,0.8097
Mail Sorter,Hospitality,Shipping Coordinator,Hospitality,0.7252
Mail Sorter,Hospitality,Warehouse Packer,Hospitality,0.6798
Mail Sorter,Hospitality,Payroll Clerk,Hospitality,0.6792
Order Clerk,Communication & PR,Receiving Clerk,Communication & PR,0.9134
Order Clerk,Communication & PR,Unit Clerk,Communication & PR,0.8825
Order Clerk,Communication & PR,Retail Supervisor,Communication & PR,0.7695
Medical Coder,Data & IT,Certified Professional Coder,Data & IT,0.8755
Medical Coder,Data & IT,Medical Billing Specialist,Data & IT,0.7908
Medical Coder,Data & IT,Patient Care Technician,Data & IT,0.7724
Purchasing Assistant,Administrative & Clerical,Accounts Payable Assistant,Administrative & Clerical,0.8218
Purchasing Assistant,Administrative & Clerical,Unit Assistant,Administrative & Clerical,0.8178
Purchasing Assistant,Administrative & Clerical,Store Assistant,Administrative & Clerical,0.8118
Supply Technician,Leadership & Strategy,Operations Technician,Leadership & Strategy,0.891
Supply Technician,Leadership & Strategy,Safety Technician,Leadership & Strategy,0.8566
Supply Technician,Leadership & Strategy,Emergency Room Technician,Leadership & Strategy,0.843
Android Developer,Medical & Healthcare,Mobile Application Developer,Medical & Healthcare,0.8717
Android Developer,Medical & Healthcare,Developer,Medical & Healthcare,0.8556
Android Developer,Medical & Healthcare,Sharepoint Developer,Medical & Healthcare,0.841
Ios Developer,Supply Chain & Logistics,Mobile Developer,Supply Chain & Logistics,0.8733
Ios Developer,Supply Chain & Logistics,Javascript Developer,Supply Chain & Logistics,0.7417
Ios Developer,Supply Chain & Logistics,Product Development Manager,Supply Chain & Logistics,0.7379
Chief Of Staff,Law Enforcement,Executive Administrator,Law Enforcement,0.8151
Chief Of Staff,Law Enforcement,Logistics Coordinator,Law Enforcement,0.7794
Chief Of Staff,Law Enforcement,Security Coordinator,Law Enforcement,0.7793
Intelligence Analyst,Construction,Web Analyst,Construction,0.822
Intelligence Analyst,Construction,Finance Analyst,Construction,0.8182
Intelligence Analyst,Construction,Financial Analyst,Construction,0.8177
Photo Retoucher,Sales & Marketing,Sports Photographer,Sales & Marketing,0.7726
Photo Retoucher,Sales & Marketing,Director Of Photography,Sales & Marketing,0.7695
Photo Retoucher,Sales & Marketing,Fingerprint Technician,Sales & Marketing,0.6917
Full Charge Bookkeeper,Hospitality,Accounting Assistant,Hospitality,0.7682
Full Charge Bookkeeper,Hospitality,Accounting Consultant,Hospitality,0.7573
Full Charge Bookkeeper,Hospitality,Fund Accountant,Hospitality,0.7566
Grant Accountant,Communication & PR,Revenue Accountant,Communication & PR,0.8136
Grant Accountant,Communication & PR,Accounting Associate,Communication & PR,0.808
Grant Accountant,Communication & PR,Financial Officer,Communication & PR,0.8021
Epic Analyst,Data & IT,Epic Trainer,Data & IT,0.8435
Epic Analyst,Data & IT,Media Analyst,Data & IT,0.7818
Epic Analyst,Data & IT,Business Analyst Manager,Data & IT,0.7786
It Project Manager,Administrative & Clerical,Creative Project Manager,Administrative & Clerical,0.8785
It Project Manager,Administrative & Clerical,Information Technology Manager,Administrative & Clerical,0.8776
It Project Manager,Administrative & Clerical,Commercial Project Manager,Administrative & Clerical,0.8664
Software Project Manager,Leadership & Strategy,Implementation Project Manager,Leadership & Strategy,0.9221
Software Project Manager,Leadership & Strategy,Erp Project Manager,Leadership & Strategy,0.9046
Software Project Manager,Leadership & Strategy,Program Manager,Leadership & Strategy,0.8467
Technology Project Manager,Medical & Healthcare,Marketing Project Manager,Medical & Healthcare,0.8976
Technology Project Manager,Medical & Healthcare,Healthcare Project Manager,Medical & Healthcare,0.8702
Technology Project Manager,Medical & Healthcare,Facilities Manager,Medical & Healthcare,0.8072
Cobol Developer,Supply Chain & Logistics,Cognos Developer,Supply Chain & Logistics,0.8563
Cobol Developer,Supply Chain & Logistics,Mobile Developer,Supply Chain & Logistics,0.7485
Cobol Developer,Supply Chain & Logistics,Rpg Programmer,Supply Chain & Logistics,0.741
Quantitative Analyst,Law Enforcement,Pricing Analyst,Law Enforcement,0.8012
Quantitative Analyst,Law Enforcement,Information Analyst,Law Enforcement,0.7862
Quantitative Analyst,Law Enforcement,Clinical Data Analyst,Law Enforcement,0.7741
Quantitative Research Analyst,Construction,Financial Analyst,Construction,0.8226
Quantitative Research Analyst,Construction,Finance Analyst,Construction,0.8041
Quantitative Research Analyst,Construction,Commercial Analyst,Construction,0.8036
Report Developer,Sales & Marketing,Entry Level Developer,Sales & Marketing,0.7837
Report Developer,Sales & Marketing,Sap Developer,Sales & Marketing,0.7742
Report Developer,Sales & Marketing,Sourcing Specialist,Sales & Marketing,0.7482
Sas Developer,Hospitality,Drupal Developer,Hospitality,0.7779
Sas Developer,Hospitality,Front End Developer,Hospitality,0.7752
Sas Developer,Hospitality,Net Developer,Hospitality,0.7649
Statistical Analyst,Communication & PR,Performance Analyst,Communication & PR,0.8653
Statistical Analyst,Communication & PR,Financial Data Analyst,Communication & PR,0.8524
Statistical Analyst,Communication & PR,Lab Analyst,Communication & PR,0.8239
Backend Developer,Data & IT,Front End Web Developer,Data & IT,0.8957
Backend Developer,Data & IT,Java Developer,Data & IT,0.8002
Backend Developer,Data & IT,Development Engineer,Data & IT,0.7881
Data Architect,Administrative & Clerical,Database Programmer,Administrative & Clerical,0.8102
Data Architect,Administrative & Clerical,Business Architect,Administrative & Clerical,0.7998
Data Architect,Administrative & Clerical,Computer Engineer,Administrative & Clerical,0.7463
Database Designer,Leadership & Strategy,Visual Designer,Leadership & Strategy,0.7896
